,,,,,,,,,,,
,ID,,タイトル,Z,X,S,TOOL,RPM,SPD,ANG,Z
,140,Φ40.5→40.4,中ハンドルのゼロセット,-44,40.5,,外径仕上げ,1800,1,,-44
,141,Φ40.5→40.4,中ハンドルで切込量0.1mmセット,-44,40.4,,外径仕上げ,1800,1,,-44
,142,Φ40.5→40.4,自動送りで端面Φ50.5あたりで止める,-59,40.4,,外径仕上げ,1800,1,,-59
,143,Φ40.5→40.4,大ハンドルで59.9mmまで追い込む,-59.9,40.4,,外径仕上げ,1800,1,,-59.9
,144,Φ40.5→40.4,大ハンドルで端面40.4より右に戻す,-44,40.4,,外径仕上げ,1800,1,,-44
,145,測定,【マイクロ測定】Φ40.00目標,-44,40.4,,外径仕上げ,1800,1,,-44
,146,仕上2回目,現在Φ40.4-目標値Φ40.00=切込量0.4の計算をする,-44,40.4,,外径仕上げ,1800,1,,-44
,147,Φ30.4→30.0,中ハンドルで切込量0.4mm追加,-44,40,,外径仕上げ,1800,1,,-44
,148,Φ30.4→30.0,自動送りで端面Φ50.5あたりで止める,-59,40,,外径仕上げ,1800,1,,-59
,149,Φ30.4→30.0,大ハンドルで60.0mmまで追い込む,-60,40,,外径仕上げ,1800,1,,-60
,150,Φ40.5→40.4,中ハンドルで外に戻す、端面段差さらう,-60,60,,外径仕上げ,1800,1,,-60
,151,スタート,バイト・回転数・送り速度を入れて刃物台を回転させても大丈夫な位置,30,60,,面取り,142,1,,60
,152,面取り,3か所の面取り,30,60,,面取り,142,1,,60
,153,Φ21.75のC2,刃先をエッジに近づける,0,60,,面取り,142,1,,0
,154,Φ21.75のC2,刃先を軽く当てる,0,21.75,,面取り,142,1,,0
,155,Φ21.75のC2,中ハンドルで切込量4.0㎜削る,0,17.75,,面取り,142,1,,0
,156,Φ21.75のC2,中ハンドルで外に戻す,0,40,,面取り,142,1,,0
,157,Φ30のC1,刃先をエッジに近づける,-25,40,,面取り,142,1,,-25
,158,Φ30のC1,刃先を軽く当てる,-25,30,,面取り,142,1,,-25
,159,Φ30のC1,中ハンドルで切込量2.0㎜削る,-25,28,,面取り,142,1,,-25
,160,Φ30のC1,中ハンドルで外に戻す,-25,50,,面取り,142,1,,-25
,161,Φ40のC1,刃先をエッジに近づける,-45,50,,面取り,142,1,,-45
,162,Φ40のC1,刃先を軽く当てる,-45,40,,面取り,142,1,,-45
,163,Φ40のC1,中ハンドルで切込量2.0㎜削る,-45,38,,面取り,142,1,,-45
,164,Φ40のC1,中ハンドルで外に戻す,-45,60,,面取り,142,1,,-45
スタート	バイト・回転数・送り速度を入れて刃物台を回転させても大丈夫な位置	30	60		ねじ切り
Φ21.75の糸面取り	刃先をエッジに近づける	-20	60		
	刃先を軽く当てる	-20	21.75		
	中ハンドルで切込量0.4㎜削る	-20	21.35		
	中ハンドルで外に戻す	-20	60		
ねじ切り準備	センターゲージで刃先の角度を調整する	10	60		
	中ハンドルで調整	5	0		
	中ハンドルで外に戻す	5	60		
	刃先をエッジに近づける	-1	60		
	刃先を軽く当てる	-1	21.75		
	中ハンドルのゼロセット				

,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,ネジ1回目：開始点へ(Z231.0),3,60,,none,,,,3
,,,ネジ1回目：切込 Φ21.25(中0.5),3,21.25,,none,,,,3
,,,ネジ1回目：削り(Z203.5),-24.5,21.25,,thread,,,,-24.5
,,,ネジ1回目：戻し(X60.0),-24.5,60,,none,,,,-24.5
,,,ネジ2回目：開始点(Z230.85/小0.15),2.85,60,,none,,,,2.85
,,,ネジ2回目：切込 Φ20.75(中1.0),2.85,20.75,,none,,,,2.85
,,,ネジ2回目：削り(Z203.35),-24.65,20.75,,thread,,,,-24.65
,,,ネジ2回目：戻し(X60.0),-24.65,60,,none,,,,-24.65
,,,ネジ3回目：開始点(Z230.73/小0.27),2.73,60,,none,,,,2.73
,,,ネジ3回目：切込 Φ20.35(中1.4),2.73,20.35,,none,,,,2.73
,,,ネジ3回目：削り(Z203.23),-24.77,20.35,,thread,,,,-24.77
,,,ネジ3回目：戻し(X60.0),-24.77,60,,none,,,,-24.77
,,,ネジ4回目：開始点(Z230.61/小0.39),2.61,60,,none,,,,2.61
,,,ネジ4回目：切込 Φ19.95(中1.8),2.61,19.95,,none,,,,2.61
,,,ネジ4回目：削り(Z203.11),-24.89,19.95,,thread,,,,-24.89
,,,ネジ4回目：戻し(X60.0),-24.89,60,,none,,,,-24.89
,,,ネジ5回目：開始点(Z230.52/小0.48),2.52,60,,none,,,,2.52
,,,ネジ5回目：切込 Φ19.65(中2.1),2.52,19.65,,none,,,,2.52
,,,ネジ5回目：削り(Z203.02),-24.98,19.65,,thread,,,,-24.98
,,,ネジ5回目：戻し(X60.0),-24.98,60,,none,,,,-24.98
,,,ネジ6回目：開始点(Z230.43/小0.57),2.43,60,,none,,,,2.43
,,,ネジ6回目：切込 Φ19.35(中2.4),2.43,19.35,,none,,,,2.43
,,,ネジ6回目：削り(Z202.93),-25.07,19.35,,thread,,,,-25.07
,,,ネジ6回目：戻し(X60.0),-25.07,60,,none,,,,-25.07
,,,ネジ7回目：開始点(Z230.37/小0.63),2.37,60,,none,,,,2.37
,,,ネジ7回目：切込 Φ19.15(中2.6),2.37,19.15,,none,,,,2.37
,,,ネジ7回目：削り(Z202.87),-25.13,19.15,,thread,,,,-25.13
,,,ネジ7回目：戻し(X60.0),-25.13,60,,none,,,,-25.13
,,,ネジ8回目：開始点(Z230.34/小0.66),2.34,60,,none,,,,2.34
,,,ネジ8回目：切込 Φ19.05(中2.7),2.34,19.05,,none,,,,2.34
,,,ネジ8回目：削り(Z202.84),-25.16,19.05,,thread,,,,-25.16
,,,ネジ8回目：戻し(X60.0),-25.16,60,,none,,,,-25.16
,,,ネジ9回目：開始点(Z230.37/小0.63),2.37,60,,none,,,,2.37
,,,ネジ9回目：切込 Φ19.05(中2.7),2.37,19.05,,none,,,,2.37
,,,ネジ9回目：削り(Z202.87),-25.13,19.05,,thread,,,,-25.13
,148,,ネジ9回目：完了 基準点退避(Z235.0),7,60,,none,,,,7
,149,,反転：ワークを反転し、チャックで掴み直す,7,180,,none,,,,7
,150,,端面2：基準位置へ移動(Z228.5),0.5,60,,none,,,,0.5
,151,,端面2：端面にバイトを当てる(X50.0),0.5,50,,none,,,,0.5
,152,,端面2：中で戻す(X60.0),0.5,60,,none,,,,0.5
,153,,端面2：右に戻す(Z238.5),10.5,60,,none,,,,10.5
,154,,端面2：大荒の準備(X45.0),10.5,45,,none,,,,10.5
,155,,端面2：サイクル1 小切込4.5mm(Z224.0),-4,45,,rough,,,,-4
,156,,端面2：サイクル1 削り(Z228.5),0.5,45,,rough,,,,0.5
,157,,端面2：中ハンドル送り(X41.0),0.5,41,,none,,,,0.5
,158,,端面2：サイクル2 小切込4.5mm(Z224.0),-4,41,,rough,,,,-4
,159,,端面2：サイクル2 削り(Z228.5),0.5,41,,rough,,,,0.5
,160,,端面2：中ハンドル送り(X37.0),0.5,37,,none,,,,0.5
,161,,端面2：サイクル3 小切込4.5mm(Z224.0),-4,37,,rough,,,,-4
,162,,端面2：サイクル3 削り(Z228.5),0.5,37,,rough,,,,0.5
,163,,端面2：中ハンドル送り(X33.0),0.5,33,,none,,,,0.5
,164,,端面2：サイクル4 小切込4.5mm(Z224.0),-4,33,,rough,,,,-4
,165,,端面2：サイクル4 削り(Z228.5),0.5,33,,rough,,,,0.5
,166,,端面2：中ハンドル送り(X29.0),0.5,29,,none,,,,0.5
,167,,端面2：サイクル5 小切込4.5mm(Z224.0),-4,29,,rough,,,,-4
,168,,端面2：サイクル5 削り(Z228.5),0.5,29,,rough,,,,0.5
,169,,端面2：中ハンドル送り(X25.0),0.5,25,,none,,,,0.5
,170,,端面2：サイクル6 小切込4.5mm(Z224.0),-4,25,,rough,,,,-4
,171,,端面2：サイクル6 削り(Z228.5),0.5,25,,rough,,,,0.5
,172,,"端面荒：準備(Z224.0, X60.0)",-4,60,,none,,,,-4
,173,,端面荒：端面にバイトを当てる(X50.0),-4,50,,none,,,,-4
,174,,端面荒：中を戻す(X60.0),-4,60,,none,,,,-4
,175,,端面荒：小ゼロセット(Z224.0),-4,60,,none,,,,-4
,176,,端面荒：小切込0.4mm(Z223.60),-4.4,60,,none,,,,-4.4
,177,,端面荒：中で削る(X25.0),-4.4,25,,rough,,,,-4.4
,178,,端面荒：小を戻す(Z224.0),-4,25,,none,,,,-4
,179,,端面荒：中を戻す(X60.0),-4,60,,none,,,,-4
,180,,"端面仕上：準備(Z224.0, X60.0)",-4,60,,none,,,,-4
,181,,"端面仕上：端面にバイトを当てる(Z223.6, X50.0)",-4.4,50,,none,,,,-4.4
,182,,端面仕上：中を戻す(X60.0),-4.4,60,,none,,,,-4.4
,183,,端面仕上：小ゼロセット(Z223.6),-4.4,60,,none,,,,-4.4
,184,,端面仕上：小切込0.1mm(Z223.50),-4.5,60,,none,,,,-4.5
,185,,端面仕上：中で削る(X25.0),-4.5,25,,finish,,,,-4.5
,186,,端面仕上：小を戻す(Z224.0),-4,25,,none,,,,-4
,187,,端面仕上：中を戻す(X60.0),-4,60,,none,,,,-4
,188,,"心もみ：センター合わせ(Z228.3, X0.0)",0.3,0,,none,,,,0.3
,189,,心もみ：センタドリル穿孔(Z225.0),-3,0,,rough,,,,-3
,190,,心もみ：ドリル退避(Z235.0),7,60,,none,,,,7
,191,,外荒2：基準点-端面に触れる(Z223.5),-4.5,50,,none,,,,-4.5
,192,,外荒2：基準点-外に戻す(X60.0),-4.5,60,,none,,,,-4.5
,193,,外荒2：Φ50→40.5 長手触れ位置(Z223.5),-4.5,60,,none,,,,-4.5
,194,,外荒2：Φ50→40.5 長手触れる(X50.0),-4.5,50,,none,,,,-4.5
,195,,外荒2：右に逃げる(Z235.0),7,50,,none,,,,7
,196,,外荒2：切込5.0mmセット(X45.0),7,45,,none,,,,7
,197,,外荒2：自動送り(Z193.5付近),-34.5,45,,outer1,,,,-34.5
,198,,外荒2：大ハンドル追い込み(Z193.4),-34.6,45,,outer1,,,,-34.6
,199,,外荒2：右に戻す(Z235.0),7,45,,none,,,,7
,200,,外荒2：Φ40.5追い込み切込(X40.5),7,40.5,,none,,,,7
,201,,外荒2：自動送り(Z193.5付近),-34.5,40.5,,outer1,,,,-34.5
